nct_id,local_protocol_ids,pi_name,pi_institution,source
NCT03157128,ACT011,Herbert Loong,CUHK,cuhk-cctu
NCT03906331,ACT015,Herbert Loong,CUHK,cuhk-cctu
NCT03093116,ACT017,Herbert Loong,CUHK,cuhk-cctu
NCT04058756,ACT020,Brigette Ma,CUHK,cuhk-cctu
NCT04699188,ACT030,Herbert Loong,CUHK,cuhk-cctu
NCT05405595,ACT041,Brigette Ma,CUHK,cuhk-cctu
NCT06360354,ACT042,Stephen Chan,CUHK,cuhk-cctu
NCT02817633,ACT043,Stephen Chan,CUHK,cuhk-cctu
NCT06864169,ACT045,Brigette Ma,CUHK,cuhk-cctu
NCT03523585,BRE034,Winnie Yeo,CUHK,cuhk-cctu
NCT04622319,BRE039,Winnie Yeo,CUHK,cuhk-cctu
NCT06018337,BRE045,Winnie Yeo,CUHK,cuhk-cctu
NCT06312176,BRE046,Winnie Yeo,CUHK,cuhk-cctu
NCT03875235,BTC005,Stephen Chan,CUHK,cuhk-cctu
NCT06109779,BTC008,Stephen Chan,CUHK,cuhk-cctu
NCT05727176,BTC009,Stephen Chan,CUHK,cuhk-cctu
NCT03997435,COLO026,Winnie Yeo,CUHK,cuhk-cctu
NCT06750094,COLO030,Brigette Ma,CUHK,cuhk-cctu
NCT04662710,GAT013,Winnie Yeo,CUHK,cuhk-cctu
NCT04704934,GAT014,Winnie Yeo,CUHK,cuhk-cctu
NCT05111626,GAT015,Winnie Yeo,CUHK,cuhk-cctu
NCT06356311,GAT017,Winnie Yeo,CUHK,cuhk-cctu
NCT05208047,GIS001,Herbert Loong,CUHK,cuhk-cctu
NCT03383458,HCC055,Stephen Chan,CUHK,cuhk-cctu
NCT03867084,HCC057,Stephen Chan,CUHK,cuhk-cctu
NCT04102098,HCC060,Stephen Chan,CUHK,cuhk-cctu
NCT04988945,HCC072,Stephen Chan,CUHK,cuhk-cctu
NCT05775159,HCC073,Stephen Chan,CUHK,cuhk-cctu
NCT05904886,HCC077,Stephen Chan,CUHK,cuhk-cctu
NCT06434480,HCC078,Landon Chan,CUHK,cuhk-cctu
NCT05555732,LUN107,Herbert Loong,CUHK,cuhk-cctu
NCT05215340,LUN108,Herbert Loong,CUHK,cuhk-cctu
NCT06055465,LUN109,Molly Li,CUHK,cuhk-cctu
NCT05633667,LUN110,Molly Li,CUHK,cuhk-cctu
NCT06497556,LUN111,Molly Li,CUHK,cuhk-cctu
NCT06117774,LUN113,Molly Li,CUHK,cuhk-cctu
NCT06472076,LUN114,Molly Li,CUHK,cuhk-cctu
NCT05565378,LUN115,Molly Li,CUHK,cuhk-cctu
NCT05315700,LUN118,Herbert Loong,CUHK,cuhk-cctu
NCT06029270,NPC038,Brigette Ma,CUHK,cuhk-cctu
NCT01368588,PST008,Darren Poon,CUHK,cuhk-cctu
NCT06136624,PST012,Kenneth Wong,CUHK,cuhk-cctu
NCT03176199,SYM012,Herbert Loong,CUHK,cuhk-cctu
NCT05059262,TGC001,Herbert Loong,CUHK,cuhk-cctu
NCT03544099,TRA016,Brigette Ma,CUHK,cuhk-cctu
NCT06885879,TRA025,Landon Chan,CUHK,cuhk-cctu
NCT05497453,OTX-2002-101,Thomas Yau,HKU,hku-mo
NCT05827081,CLEE011O12001|ADJUVANT WIDER,Roland Leung,HKU,hku-mo
NCT03562637,OBI-822-011,Joanne Chiu,HKU,hku-mo
NCT05514054,J2J-MC-JZLH|Ember-04,Joanne Chiu,HKU,hku-mo
NCT06065748,CO44657|PionERA,Roland Leung,HKU,hku-mo
NCT06016738,OP-1250-301|Opera-01,Joanne Chiu,HKU,hku-mo
NCT06018337,DB1303-O-3002,Joanne Chiu,HKU,hku-mo
NCT04738487,MK-7684A-003,Joanne Chiu,HKU,hku-mo
NCT05633667,GS-US-624-6376|Velocity 01/02,Joanne Chiu,HKU,hku-mo
NCT05633667,475-0708 MT Lung,Joanne Chiu,HKU,hku-mo
NCT05678673,XL092-304,Bryan Li,HKU,hku-mo
NCT05043090,D5086C00001,Bryan Li,HKU,hku-mo
NCT02568267,STARTRK-2,Thomas Yau,HKU,hku-mo
NCT03093116,TIDENT-1|TPX-0005-01,Thomas Yau,HKU,hku-mo
NCT05411133,A001|Abrele,Roland Leung,HKU,hku-mo
NCT03948763,V941-001,Joanne Chiu,HKU,hku-mo
NCT05226468,NEI01-20001,Thomas Yau,HKU,hku-mo
NCT05824663,4003.1,Thomas Yau,HKU,hku-mo
NCT04526106,RLY-4008-101,Joanne Chiu,HKU,hku-mo
NCT06346392,D9802C00001,Gerry Kwok,HKU,hku-mo
NCT01437566,HKUCTR-1496,Ava Kwong,HKU,hku-ctr
NCT01483027,HKUCTR-1982,Victor Lee,HKU,hku-ctr
NCT02993211,HKUCTR-2442,Chiu-fung Tsang,HKU,hku-ctr
NCT05248581,HKUCTR-2936,Albert Chi-yan Chan,HKU,hku-ctr
NCT06579833,HKUCTR-3027,Albert Chan,HKU,hku-ctr
NCT06136650,HKUCTR-3074,Wai Kwan Steven Siu,HKU,hku-ctr
NCT06769061,HKUCTR-3090,Karen Chan,HKU,hku-ctr
NCT04597125,HKUCTR-2956,Wayne Pei Lam,HKU,hku-ctr
NCT05094336,20210023|UW 22-014|CTC2265,Aya El Helali,HKU,hku-co
NCT05502237,DS1062-A-U303,Victor LEE,HKU,hku-co
NCT05215340,DS1062-A-U304,Victor LEE,HKU,hku-co
NCT03997435,UW 21-577,Aya El Helali,HKU,hku-co
NCT05502237,GS-US-626-6216,Victor LEE,HKU,hku-co
NCT05166577,VT3996-301,Victor LEE,HKU,hku-co
NCT04036682,Cullinan-Pearl|CTC 1927|UW19-570,Victor LEE,HKU,hku-co
NCT04704934,DS8201-A-U306|UW21-362,Wendy Chan,HKU,hku-co
NCT04949256,MK7902-014,Dora KWONG,HKU,hku-co
NCT05382299,GS-US-592-6238|UW 23-187,Wendy CHAN,HKU,hku-co
NCT03562637,OBI-822-011|UW18-484,Wendy CHAN,HKU,hku-co
NCT04923529,TAS-102,CHIANG Chi Leung,HKU,hku-co
NCT05920356,20190341,Victor LEE,HKU,hku-co
NCT05920356,GSUS-598-6168|UW 23-407,Wendy CHAN,HKU,hku-co
NCT04036682,CTC 1927|UW19-570,Victor LEE,HKU,hku-co
NCT05894239,WO44263|UW 23-384,Wendy CHAN,HKU,hku-co
NCT05061342,UW-19-565,Feng-ming Spring KONG,HKU,hku-co
